Unternehmen,slug,amount_rd,URL,Website,Typ
Abbvie Poland Sp. z oo,abbvie,13023266,http://eutransparency.abbvie.com/poland/web/viewer.html,,PDF
Bayer. z oo,bayer,11203961.44,http://transparency.bayer.com/search/?type=hcp&full_name=%25%25%25&address=&city=,,PDF
